CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
25396430001-33;LINUXELL INFORMATICA E SERVICOS LTDA;Linuxell Informatica;Sociedade Empresária Limitada;8600000;12/05/1998;270;São Luís;MA;650518720;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
25581570001-62;TELEFONICA BRASIL S.A.;;Sociedade Anônima Aberta;6,00714E+12;04/06/1998;270;São Paulo;SP;45719360;Demais;Serviços de telefonia fixa comutada - STFC;0;0
29020720001-50;QUALYCOPY COMERCIO E SERVICOS LTDA;;Sociedade Empresária Limitada;20000000;23/11/1998;270;Salvador;BA;402703700;Demais;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0;0
30174280001-35;NCT INFORMATICA LTDA;Nct Informatica;Sociedade Empresária Limitada;176879880;04/03/1999;260;Brasília;DF;700701200;Demais;Consultoria em tecnologia da informação;0;0
31175340001-90;BRADOK SOLUCOES CORPORATIVAS LTDA;Bradok Comercio e Servicos;Sociedade Empresária Limitada;40153000;20/04/1999;260;Niterói;RJ;240300550;Demais;Aluguel de máquinas e equipamentos para escritórios;0;0
35890890001-61;MFC - CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;Sages;Sociedade Empresária Limitada;10000000;19/11/1999;260;São Paulo;SP;40119040;Demais;Consultoria em tecnologia da informação;0;0
36215480001-47;CEL TECNOLOGIA E INFORMATICA LTDA;Cel Tecnologia;Sociedade Empresária Limitada;10000000;25/01/2000;250;Brasília;DF;719530000;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
36986200005-68;GREEN4T SOLUCOES TI LTDA;;Sociedade Empresária Limitada;303747170;15/10/2021;40;Barueri;SP;64221200;Demais;Outras obras de instalações em construções não especificadas anteriormente;0;0
38223150002-93;F9C SECURITY LTDA;F9c;Sociedade Empresária Limitada;5000000;08/07/2015;100;Brasília;DF;707020600;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
38229090001-13;CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A;;Sociedade Anônima Fechada;233800000;22/05/2000;250;Cabo de Santo Agostinho;PE;545030100;Demais;Comércio atacadista de equipamentos de informática;0;0
